Shortbred_ID	ShortBRED_ARG_Family_Name	DbAcc_ID	Db_Name	Marker_Source	Product_Name	Description	Seq_Type	Database_Source	AMR_Family	AMR_Class	Drug_Targets	AMR_Mechanism	ShortBRED_Analysis	TD_Analysis
MF1491	DLFM03_00188|S17_TMP_38|gene-3|+|1393-1872|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1492	DLFM03_00189|S17_TMP_151|gene-2|-|605-982|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1493	DLFM03_00191|S17_TMP_79|gene-2|-|231-1373|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1494	DLFM03_00193|S16_DCS_56|gene-2|+|553-1734|complete	RF0024	Resfams	FxnlSlxns	Aminotran_1_2	PF00155.16 Aminotransferase class I and II	HMM	Pfam	Unknown_Aminotransferase	Aminotransferase	NA	Other	No	No
MF1495	DLFM03_00197|S16_TMP_237|gene-1|-|143-664|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1496	DLFM03_00199|S16_TMP_16|gene-3|-|1668-2159|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1497	DLFM03_00201|S16_DCS_66|gene-1|+|47-1171|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1498	DLFM03_00202|S16_TMP_134|gene-2|+|288-1097|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1499	DLFM03_00202|S16_TMP_134|gene-4|+|1256-1753|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1500	DLFM03_00204|S16_TET_8|gene-2|-|878-2161|complete	RF0142	Resfams	FxnlSlxns	MATE_efflux	TIGR00797 matE: MATE efflux family protein	HMM	TIGRFam	MATE_efflux_pump_unclassified	MATE_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF1501	DLFM03_00206|S16_SXT_2|gene-2|-|855-1664|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1502	DLFM03_00207|S16_SXT_4|gene-4|-|1772-2569|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1503	DLFM03_00208|S16_CHL_10|gene-2|+|566-1741|complete	RF0140	Resfams	FxnlSlxns	Bcr_Cfla	"TIGR00710 efflux Bcr CflA: drug resistance transporter, Bcr/CflA subfamily"	HMM	TIGRFam	bcr_MFS_efflux_pump	MFS_efflux_pump	Phenicol	Antibiotic_efflux	No	Yes
MF1504	DLFM03_00209|S16_TGC_4|gene-3|-|451-1221|complete	RF0010	Resfams	FxnlSlxns	ABC2	PF01061.19 ABC-2 type transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF1505	DLFM03_00209|S16_TGC_4|gene-4|-|1221-2171|complete	RF0143	Resfams	FxnlSlxns	drrA	"TIGR01188 drrA: daunorubicin resistance ABC transporter, ATP-binding protein"	HMM	TIGRFam	drrAB_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	Yes
MF1506	DLFM03_00210|S16_TMP_108|gene-2|+|1261-1767|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1507	DLFM03_00214|S16_TET_24|gene-4|-|1891-3312|complete	RF0142	Resfams	FxnlSlxns	MATE_efflux	TIGR00797 matE: MATE efflux family protein	HMM	TIGRFam	MATE_efflux_pump_unclassified	MATE_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF1508	DLFM03_00216|S16_DCS_21|gene-3|-|1488-2621|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1509	DLFM03_00217|S16_TMP_54|gene-2|+|597-1430|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1510	DLFM03_00217|S16_TMP_54|gene-3|+|1427-1918|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1511	DLFM03_00218|S16_TMP_161|gene-2|+|902-1693|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1512	DLFM03_00218|S16_TMP_161|gene-3|+|1782-2270|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1513	DLFM03_00219|S16_TMP_129|gene-3|+|1022-1651|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1514	DLFM03_00219|S16_TMP_129|gene-5|+|1857-2390|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1515	DLFM03_00220|S16_TMP_128|gene-6|+|3029-3979|complete	RF0032	Resfams	FxnlSlxns	APH	PF01636.18 Phosphotransferase enzyme family	HMM	Pfam	Unknown_APH	Aminoglycoside_phosphotransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF1516	DLFM03_00223|S16_TMP_130|gene-2|-|570-1046|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1517	DLFM03_00223|S16_TMP_130|gene-3|-|1043-1984|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1518	DLFM03_00224|S16_TET_13|gene-1|+|90-1523|complete	RF0142	Resfams	FxnlSlxns	MATE_efflux	TIGR00797 matE: MATE efflux family protein	HMM	TIGRFam	MATE_efflux_pump_unclassified	MATE_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF1519	DLFM03_00226|S16_TMP_99|gene-3|+|1156-1647|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1520	DLFM03_00227|S16_DCS_10|gene-2|-|651-1961|complete	RF0024	Resfams	FxnlSlxns	Aminotran_1_2	PF00155.16 Aminotransferase class I and II	HMM	Pfam	Unknown_Aminotransferase	Aminotransferase	NA	Other	No	No
MF1521	DLFM03_00227|S16_DCS_10|gene-3|-|2037-2963|complete	RF0025	Resfams	FxnlSlxns	Aminotran_4	PF01063.14 Aminotransferase class IV	HMM	Pfam	Unknown_Aminotransferase	Aminotransferase	NA	Other	No	No
MF1522	DLFM03_00227|S16_DCS_10|gene-4|-|2972-3877|complete	RF0060	Resfams	FxnlSlxns	DalaDala	PF07478.8 D-ala D-ala ligase C-terminus	HMM	Pfam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1523	DLFM03_00228|S16_TMP_77|gene-2|-|135-623|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1524	DLFM03_00228|S16_TMP_77|gene-3|-|775-1014|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1525	DLFM03_00229|S16_TMP_144|gene-2|-|114-632|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1526	DLFM03_00229|S16_TMP_144|gene-3|-|629-1423|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1527	DLFM03_00230|S16_TMP_142|gene-4|+|1790-2323|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1528	DLFM03_00231|S16_TMP_80|gene-2|+|164-925|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1529	DLFM03_00231|S16_TMP_80|gene-3|+|1100-1411|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1530	DLFM03_00232|S16_TMP_84|gene-2|+|597-1430|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1531	DLFM03_00234|S16_TMP_198|gene-2|+|403-1197|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1532	DLFM03_00234|S16_TMP_198|gene-3|+|1220-1705|complete	RF0011	Resfams	FxnlSlxns	Acetyl_transf	PF00583.19 Acetyltransferase (GNAT) family	HMM	Pfam	Unknown_AAC	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF1533	DLFM03_00234|S16_TMP_198|gene-4|+|1705-2217|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1534	DLFM03_00237|S16_TMP_207|gene-2|-|88-579|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1535	DLFM03_00237|S16_TMP_207|gene-3|-|576-1496|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1536	DLFM03_00240|S16_TMP_12|gene-2|+|510-1190|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1537	DLFM03_00241|S16_PEN_10|gene-1|-|74-1474|complete	RF0009	Resfams	FxnlSlxns	ABC1	PF03109.11 ABC1 family	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF1538	DLFM03_00242|S16_TMP_175|gene-2|+|939-1733|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1539	DLFM03_00242|S16_TMP_175|gene-3|+|1889-2383|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1540	DLFM03_00243|S16_DCS_72|gene-2|+|200-1222|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1541	DLFM03_00247|S16_TMP_76|gene-3|+|824-1849|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1542	DLFM03_00247|S16_TMP_76|gene-4|+|1846-2358|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1543	DLFM03_00248|S16_TMP_71|gene-2|+|182-670|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1544	DLFM03_00249|S16_TMP_176|gene-3|-|806-1600|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1545	DLFM03_00250|S16_TMP_197|gene-3|+|900-1358|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1546	DLFM03_00251|S16_TMP_195|gene-2|-|194-697|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1547	DLFM03_00252|S16_TMP_192|gene-2|-|312-812|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1548	DLFM03_00252|S16_TMP_192|gene-3|-|809-1261|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1549	DLFM03_00253|S16_TMP_191|gene-3|+|777-1280|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1550	DLFM03_00256|S16_DCS_39|gene-2|+|177-1334|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1551	DLFM03_00260|S15_TMP_4|gene-2|+|817-1314|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1552	DLFM03_00262|S15_TET_3|gene-2|+|232-1725|complete	RF0065	Resfams	FxnlSlxns	EmrB	emrB: subunit of efflux pump conferring antibiotic resistance	HMM	Resfams	EmrAB_tolC_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	Yes
MF1553	DLFM03_00267|S15_TMP_2|gene-1|-|99-593|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1554	DLFM03_00267|S15_TMP_2|gene-2|-|652-1452|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1555	DLFM03_00270|S15_TMP_21|gene-2|-|618-1112|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1556	DLFM03_00270|S15_TMP_21|gene-3|-|1115-1909|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1557	DLFM03_00271|S15_TMP_25|gene-2|+|295-1089|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1558	DLFM03_00272|S15_TMP_28|gene-2|-|830-1318|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1559	DLFM03_00272|S15_TMP_28|gene-3|-|1315-2271|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1560	DLFM03_00274|S15_TMP_30|gene-2|-|349-837|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1561	DLFM03_00276|S15_DCS_38|gene-2|+|427-1383|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1562	DLFM03_00277|S15_DCS_43|gene-2|-|183-1148|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1563	DLFM03_00278|S15_TMP_19|gene-2|+|578-1393|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1564	DLFM03_00278|S15_TMP_19|gene-3|+|1417-1941|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1565	DLFM03_00279|S15_TMP_14|gene-3|+|2018-2518|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1566	DLFM03_00281|S15_TMP_62|gene-2|-|686-1603|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1567	DLFM03_00285|S15_SXT_5|gene-2|+|1215-2009|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1568	DLFM03_00287|S15_TMP_57|gene-2|+|695-1228|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1569	DLFM03_00289|S15_SXT_2|gene-2|+|343-1137|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1570	DLFM03_00289|S15_SXT_2|gene-3|+|1140-1667|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1571	DLFM03_00291|S14_DCS_2|gene-3|-|1214-2236|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1572	DLFM03_00292|S14_TMP_9|gene-3|-|709-1221|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1573	DLFM03_00293|S14_TMP_6|gene-4|+|1042-1554|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1574	DLFM03_00294|S14_DCS_23|gene-2|+|176-1156|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1575	DLFM03_00295|S14_TMP_25|gene-3|+|1324-1824|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1576	DLFM03_00298|S14_TMP_41|gene-3|-|1236-1763|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1577	DLFM03_00298|S14_TMP_41|gene-4|-|1778-2626|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1578	DLFM03_00299|S14_TMP_40|gene-2|+|186-665|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1579	DLFM03_00300|S14_TMP_39|gene-2|-|326-793|complete	RF0063	Resfams	FxnlSlxns	DHFR_1	PF00186.14 Dihydrofolate reductase	HMM	Pfam	dhfr	Dihydrofolate_reductase	Diaminopyrimidine	Antibiotic_target_replacement	Yes	Yes
MF1580	DLFM03_00300|S14_TMP_39|gene-3|-|865-1659|complete	RF0146	Resfams	FxnlSlxns	Thymidylat_synt	TIGR03284 thym sym: thymidylate synthase	HMM	TIGRFam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF1581	DLFM03_00301|S14_TET_6|gene-2|-|341-2050|complete	RF0141	Resfams	FxnlSlxns	EmrB	"TIGR00711 efflux EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family"	HMM	TIGRFam	EmrAB_tolC_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	Yes
MF1582	DLFM03_00302|S14_GEN_2|gene-2|+|663-959|complete	RF0075	Resfams	FxnlSlxns	FmrO	PF07091.6 Ribosomal RNA methyltransferase (FmrO)	HMM	Pfam	FmrO_16S_rRNA_methyltransferase_G1405	16S_rRNA_methyltransferase	Aminoglycosides	Antibiotic_target_alteration	Yes	Yes
MF1583	DLFM03_00303|S14_DCS_9|gene-2|-|1345-2469|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1584	DLFM03_00304|S14_DCS_3|gene-2|-|472-1428|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF1585	DLFM03_00305|S14_DCS_6|gene-2|+|1105-2022|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
